CountyState,Average,RegionID
"Sacramento, CA",502900,17310
"Grand Forks, ND",174500,4948
"Kern, CA",258400,24349
"Linn, OR",334000,30149
"San Bernardino, CA",341600,37971
"Licking, OH",177500,39996
"Clermont, OH",384400,5710
"Hamilton, IN",174600,53585
"New Castle, DE",263700,26091
"Broward, FL",215900,4329
"Seminole, FL",229400,50704
"Hancock, OH",228600,38520
"Los Angeles, CA",663800,25953
"Carroll, MD",422100,41675
"Santa Clara, CA",2169900,4281
"Brevard, FL",185000,7433
"Broward, FL",229900,12560
"Passaic, NJ",643600,27808
"Du Page, IL",503400,15894
"Hillsborough, FL",331500,48210
"Snohomish, WA",663000,20536
"Davis, UT",358000,57030
"Norfolk, MA",486900,14603
"Fairfield, CT",762300,31506
"San Diego, CA",605600,6943
"Bulloch, GA",136400,20639
"Broomfield, CO",390600,10574
"Broward, FL",226800,4151
"Mohave, AZ",318500,46105
"Hillsborough, FL",377500,53076
"Cook, IL",479600,39899
"Volusia, FL",289100,33498
"Palm Beach, FL",249900,31209
"New Haven, CT",251200,27864
"Montgomery, MD",656500,33714
"Ocean, NJ",480600,32180
"Harrison, MS",107100,51003
"Pasco, FL",322900,21203
"Miami-Dade, FL",404000,126392
"Missoula, MT",235600,53359
"Orange, CA",966000,8384
"Kent, MI",202000,14730
"Middlesex, NJ",455400,398893
"Broome, NY",195400,397782
"Erie, PA",262700,397360
"Cook, IL",511100,6268
"Honolulu, HI",922300,19375
"Cameron, TX",124700,52417
"Hall, NE",215000,52285
"Iberia, LA",98700,26102
"Oakland, MI",511000,26225
"Klamath, OR",231600,5445
"Orange, NY",269500,395560
"Saint Louis, MO",159800,31580
"Los Angeles, CA",618000,118225
"Yavapai, AZ",472200,26620
"Washington, OR",445100,30177
"Middlesex, NJ",256200,39967
"Macomb, MI",216300,6884
"Morris, NJ",573100,396009
"Cook, IL",360500,9969
"Honolulu, HI",1300700,396491
"King, WA",864900,5302
"Douglas, CO",624700,23984
"Pinal, AZ",173600,32697
"San Bernardino, CA",477400,21417
"Jefferson, LA",129500,12579
"Los Angeles, CA",738400,11626
"Essex, MA",538900,26431
"King, WA",635600,54409
"Los Angeles, CA",824300,45602
"Camden, NJ",292700,31778
"Cleveland, OK",194900,6032
"Waukesha, WI",204700,34683
"Orange, CA",863500,26531
"Elkhart, IN",226300,52262
"Maverick, TX",115400,31299
"Tarrant, TX",198200,16554
"Pinellas, FL",287500,13772
"Contra Costa, CA",530100,9255
"Rensselaer, NY",205100,41292
"San Diego, CA",857400,20044
"Lee, FL",490000,30527
"Salt Lake, UT",501900,27177
"Champaign, IL",122500,7645
"Niagara, NY",117500,46749
"Canadian, OK",159900,22759
"Warren, OH",394800,5834
"Shelby, TN",293700,10264
"Lake, OH",220300,56162
"Ouachita, LA",209900,48433
"Lowndes, MS",183400,4180
"Dakota, MN",372900,3425
"Fairbanks North Star, AK",219000,38465
"Hudson, NJ",879100,25146
"Los Angeles, CA",498400,6395
"Bucks, PA",316400,39416
"Norfolk, MA",1024100,17188
"Baltimore, MD",371000,28948
"Henry, GA",240700,20665
"Miami-Dade, FL",239600,6229
"Kent, MI",256900,25383
"Cochise, AZ",260300,192040
"Yolo, CA",440900,41665
"Fairfield, CT",360600,14016
"Clackamas, OR",509200,9662
"Madison, IN",106200,30219
"New Haven, CT",399200,12725
